country_or_region,is_nonindependent_territory,population_pct_≤1.7_µcd_m2,population_pct_>1.7_µcd_m2,population_pct_>14_µcd_m2,population_pct_>87_µcd_m2,population_pct_>688_µcd_m2,population_pct_>3000_µcd_m2,area_pct_≤1.7_µcd_m2,area_pct_>1.7_µcd_m2,area_pct_>14_µcd_m2,area_pct_>87_µcd_m2,area_pct_>688_µcd_m2,area_pct_>3000_µcd_m2,source_url
Spain,False,0.0,100.0,100.0,96.1,75.2,41.5,0.0,100.0,98.6,46.5,6.7,0.9,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Sri Lanka,False,0.7,99.3,76.4,29.8,2.5,0.0,11.4,88.6,33.9,5.4,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
St. Helena,True,16.1,83.9,0.0,0.0,0.0,0.0,51.4,48.6,0.9,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
St. Kitts and Nevis,False,0.0,100.0,100.0,99.5,59.7,0.0,0.0,100.0,100.0,56.9,5.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
St. Lucia,False,0.0,100.0,100.0,96.7,44.2,0.0,0.0,100.0,100.0,63.1,1.8,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
St. Pierre and Miquelon,True,3.7,96.3,48.1,48.1,0.0,0.0,26.2,73.8,4.3,0.4,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Sudan,False,59.3,40.7,29.6,22.5,11.6,1.9,93.9,6.1,1.6,0.4,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Suriname,False,10.8,89.2,85.4,77.6,51.5,7.1,87.0,13.0,3.7,1.1,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Swaziland,False,0.0,100.0,76.3,33.0,9.8,0.0,0.0,100.0,64.5,8.3,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Sweden,False,0.0,100.0,99.9,96.7,62.0,25.7,5.6,94.4,60.3,21.4,1.6,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Switzerland,False,0.0,100.0,100.0,96.9,34.0,0.0,0.0,100.0,100.0,57.9,2.6,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Syria,False,0.4,99.6,91.2,68.5,21.5,1.3,23.3,76.7,38.2,12.4,0.4,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Tajikistan,False,3.8,96.2,87.8,55.9,14.1,0.0,57.5,42.5,19.4,3.1,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Tanzania,False,62.7,37.3,23.0,15.4,8.8,0.0,92.5,7.5,1.3,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Thailand,False,0.2,99.8,92.5,61.5,32.3,16.3,4.4,95.6,64.2,18.0,2.4,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
The Gambia,False,36.1,63.9,52.8,43.6,0.0,0.0,77.2,22.8,6.7,2.6,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Timor-Leste,False,30.7,69.3,30.8,15.2,4.4,0.0,57.3,42.7,6.7,1.0,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Togo,False,35.8,64.2,48.0,30.8,22.7,0.0,76.7,23.3,6.2,1.4,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Tokelau,True,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Tonga,False,0.0,100.0,98.4,66.5,0.0,0.0,0.0,100.0,79.9,13.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Trinidad and Tobago,False,0.0,100.0,100.0,100.0,94.3,50.2,0.0,100.0,100.0,96.6,43.5,5.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Tunisia,False,0.0,100.0,99.4,80.4,48.5,16.5,9.8,90.2,61.6,17.2,1.8,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Turkey,False,0.0,100.0,97.8,77.7,49.9,24.3,0.0,100.0,87.4,25.7,2.2,0.3,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Turkmenistan,False,1.3,98.7,95.9,87.5,47.3,19.5,46.0,54.0,25.0,8.5,1.3,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Uganda,False,60.6,39.4,17.7,9.8,4.1,0.0,83.3,16.7,3.2,0.7,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Ukraine,False,0.1,99.9,91.3,65.0,29.9,2.9,0.4,99.6,62.8,11.1,0.9,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
United Arab Emirates,False,0.0,100.0,100.0,100.0,99.3,92.7,0.0,100.0,92.3,60.9,23.4,5.7,https://www.science.org/doi/10.1126/sciadv.1600377#T2
United Kingdom,False,0.0,100.0,99.9,98.2,77.0,26.0,3.6,96.4,86.4,60.8,13.5,1.4,https://www.science.org/doi/10.1126/sciadv.1600377#T2
United States,False,0.0,100.0,99.7,97.2,77.6,36.9,30.4,69.6,46.9,23.2,3.6,0.6,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Uruguay,False,1.3,98.7,94.6,89.1,75.3,34.8,19.8,80.2,27.9,6.7,0.9,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Uzbekistan,False,0.9,99.1,96.5,81.0,19.7,2.7,56.0,44.0,25.9,10.7,0.6,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Vanuatu,False,41.1,58.9,40.3,14.0,0.0,0.0,69.0,31.0,11.5,7.9,1.4,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Venezuela,False,1.2,98.8,96.7,91.2,73.0,33.7,52.5,47.5,30.7,14.0,3.3,0.8,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Vietnam,False,3.2,96.8,85.6,60.6,25.2,8.2,21.3,78.7,42.5,17.5,3.0,0.7,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Virgin Islands,True,0.0,100.0,100.0,99.9,75.9,0.0,0.0,100.0,100.0,99.1,37.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Wallis and Futuna,True,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
West Bank,True,0.0,100.0,100.0,100.0,94.6,42.4,0.0,100.0,100.0,100.0,61.1,4.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Western Sahara,True,4.1,95.9,95.6,95.5,90.6,5.9,93.7,6.3,1.5,0.4,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Yemen,False,2.7,97.3,52.5,27.9,14.4,1.4,45.5,54.5,18.9,4.9,0.5,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Zambia,False,43.8,56.2,42.2,35.1,16.1,0.0,85.9,14.1,3.7,0.8,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Zimbabwe,False,45.6,54.4,37.5,28.4,2.5,0.0,77.2,22.8,4.3,0.7,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
European Union,False,0.0,100.0,99.8,94.0,59.5,20.5,1.3,98.7,88.4,48.7,6.0,0.6,https://www.science.org/doi/10.1126/sciadv.1600377#T2
World,False,8.0,92.0,83.2,63.7,35.9,13.9,60.3,39.7,22.5,8.6,1.2,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
