code_muni,name_muni,name_state,abbrev_state,pop_2022_ibge,area_km2_ibge,densidade_2022_ibge_hab_km2,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1,share_radiancia_total_ce_pct,radiancia_total_per_capita_2022,hotspot_index_max_over_mean,log1p_densidade_2022,log1p_radiancia_media,radiancia_media_esperada_log,radiancia_media_esperada,residuo_luminoso_log,residuo_luminoso_std,residuo_luminoso_percentil,classe_residuo_luminoso,perfil_luminoso,rank_radiancia_total,rank_radiancia_media,rank_residuo_luminoso,rank_radiancia_per_capita,rank_area_acima_1,rank_hotspot_index
2305654,Ipaporanga,Ceará,CE,11575,705,16.42,0.1739070227976595,0.0,495.2872009277344,16.881744384765625,2.668539325842697,0.1443561130475375,0.04278939100887554,97.07339022952577,2.857618971424357,0.16033752133410772,0.05951324170788608,0.06131981457344772,0.10082427962622165,0.47731831554120174,75.0,mais luminoso que o esperado,perfil intermediário,148,159,47,90,163,46
2307635,Madalena,Ceará,CE,16896,998,16.93,0.183597333188514,0.0,741.1824340820312,21.541757583618164,3.022046073817191,0.21602459147496902,0.043867331562620224,117.33153794869116,2.8864752876170416,0.16855838840561885,0.07263178086700206,0.07533450526675103,0.09592660753861679,0.45413195011815805,74.45652173913044,mais luminoso que o esperado,perfil intermediário,113,158,48,82,156,34
2308500,Mombaça,Ceará,CE,37735,2116,17.84,0.2057389436934471,0.0,1762.154052734375,25.919483184814453,3.4208990075890253,0.5135963723011998,0.046698133105455814,125.98238619059079,2.935982269148217,0.1870926102740191,0.09513844012072226,0.09981110256909392,0.09195417015329685,0.4353257942161954,73.91304347826086,mais luminoso que o esperado,perfil intermediário,47,151,49,68,151,28
2306108,Irauçuba,Ceará,CE,23915,1466,16.31,0.1592757132600103,0.0,943.2307739257812,20.72420310974121,2.7186761229314422,0.2749134804527548,0.03944096901215895,130.1152734177032,2.851284369188118,0.14779542498802478,0.056633431030090886,0.058267811144182766,0.0911619939579339,0.43157550501418707,73.36956521739131,mais luminoso que o esperado,perfil intermediário,92,164,50,110,162,24
2302800,Canindé,Ceará,CE,74174,3032,24.46,0.3710912754669364,0.0,4539.9306640625,60.154884338378906,6.065064574137649,1.3232054915649043,0.06120649640119853,162.1026635578662,3.2371085931292605,0.31560697419702716,0.23203524450171398,0.26116417714804846,0.08357172969531318,0.39564197624732783,72.82608695652173,mais luminoso que o esperado,contribuinte relevante no total estadual,13,101,51,29,114,13
2308708,Morada Nova,Ceará,CE,61221,2764,22.15,0.3107761218002553,0.0,3469.19384765625,45.62075424194336,5.589895189465198,1.0111291757954333,0.05666672951530112,146.79620117168756,3.141994780532243,0.27061942116779253,0.18879499627338592,0.20779332496888922,0.08182442489440661,0.3873699549901695,72.28260869565217,mais luminoso que o esperado,contribuinte relevante no total estadual,21,120,52,40,117,20
2301257,Ararendá,Ceará,CE,11096,342,32.42,0.5483860491674928,0.3978000581264496,760.6114501953125,29.061458587646484,9.73323720259553,0.22168736095739802,0.0685482561459366,52.99452562436679,3.509154523167248,0.4372131298431882,0.3557116404231806,0.4271959433033316,0.08150148942000762,0.3858411266440602,71.73913043478261,mais luminoso que o esperado,perfil intermediário,110,76,53,20,88,93
2306603,Itatira,Ceará,CE,20424,830,24.62,0.3693034461119294,0.0,1237.9051513671875,21.87037467956543,6.384248210023866,0.36079909926637516,0.06061031880959594,59.22060801381283,3.2433732964685884,0.3143021770489546,0.23488327803199716,0.26476113470829576,0.07941889901695742,0.3759818095546508,71.19565217391305,mais luminoso que o esperado,perfil intermediário,71,103,54,30,112,85
2306009,Iracema,Ceará,CE,14001,839,16.68,0.1561034185154408,0.0,529.8150024414062,16.284257888793945,3.1820860341779613,0.15441956554389585,0.03784122580111465,104.31711194630945,2.8724340572094973,0.14505522863226464,0.06624841475354648,0.06849211340547579,0.07880681387871816,0.37308410031005945,70.65217391304348,mais luminoso que o esperado,perfil intermediário,143,166,55,126,154,42
2301851,Banabuiú,Ceará,CE,17195,1081,15.91,0.132402600886916,0.0,579.5261840820312,20.609519958496094,1.6221156042951794,0.16890835698288112,0.03370318023158077,155.65796793101183,2.827905162910489,0.12434157104466537,0.04600487293507394,0.04707951329499103,0.07833669810959143,0.37085849683576927,70.1086956521739,mais luminoso que o esperado,perfil intermediário,137,171,56,146,173,15
2302404,Boa Viagem,Ceará,CE,50411,2835,17.78,0.1841035091475388,0.0,2109.4580078125,28.86405563354492,2.557165299354163,0.6148213765153301,0.0418451926724822,156.78166923821027,2.932792473780117,0.16898595590712526,0.09368830853890242,0.09821738758272229,0.07529764736822284,0.35647114305459693,69.56521739130434,mais luminoso que o esperado,contribuinte relevante no total estadual,38,157,57,94,164,14
2310001,Palhano,Ceará,CE,9346,437,21.39,0.2809874310531356,0.0,495.099853515625,13.603185653686523,5.505107832009081,0.1443015088822149,0.05297451888675637,48.41207862675551,3.1086144306106633,0.24763121104221084,0.17361975960536502,0.18960314464223224,0.07401145143684582,0.3503820851640096,69.02173913043478,mais luminoso que o esperado,perfil intermediário,149,131,58,46,121,98
2303709,Caucaia,Ceará,CE,355679,1223,290.77,3.1134381092389103,0.9688339829444884,15371.0439453125,71.77775573730469,49.03787725339275,4.480035327526969,0.04321605702139429,23.05417779182924,5.675965820659426,1.4142592017470152,1.3407784336603705,2.822017534773453,0.07348076808664472,0.34786974504372503,68.47826086956522,mais luminoso que o esperado,contribuinte relevante no total estadual,2,9,59,89,11,152
2301604,Assaré,Ceará,CE,21697,1155,18.78,0.2096814428929944,0.0,981.728515625,27.93051147460937,3.289192652712516,0.28613400935476896,0.04524720079388855,133.20449800442523,2.984671326194566,0.1903570546105627,0.11727325792691512,0.1244266462082618,0.07308379668364759,0.34599041873364306,67.93478260869566,mais luminoso que o esperado,perfil intermediário,84,150,60,75,153,23
2305332,Ibicuitinga,Ceará,CE,11611,424,27.39,0.422915553267667,0.0,724.8772583007812,14.932509422302246,8.8098016336056,0.21127229463804445,0.06243021775047638,35.30848953559965,3.34603697048488,0.35270797319194436,0.28155581304333976,0.32518995714202464,0.07115216014860459,0.3368457414737346,67.3913043478261,mais luminoso que o esperado,perfil intermediário,117,92,61,27,92,128
2311355,Quixelô,Ceará,CE,15910,605,26.28,0.3877407467418722,0.0,951.1280517578124,28.278165817260746,7.2156543008560945,0.2772152163533658,0.059781775723306875,72.93060113477203,3.3061538329752613,0.32767706275244457,0.26342430596826194,0.30137878460634354,0.06425275678418263,0.30418285903754094,66.84782608695652,mais luminoso que o esperado,perfil intermediário,89,99,62,31,103,71
2303303,Cariús,Ceará,CE,17015,1036,16.42,0.1309102230563888,0.0,548.2520141601562,16.949176788330078,2.24450811843362,0.15979320601541488,0.03222168757920401,129.47175753842816,2.857618971424357,0.1230228156070393,0.05951324170788608,0.06131981457344772,0.06350957389915322,0.30066451202691646,66.30434782608695,mais luminoso que o esperado,perfil intermediário,142,172,63,156,167,26
2302701,Campos Sales,Ceará,CE,25135,1083,23.22,0.305628174218215,0.0,1338.95703125,41.00654602050781,4.473864414517234,0.3902516200840045,0.05327061990252636,134.1713537740086,3.1871787381249463,0.266684284512499,0.2093363402580346,0.23285958911691806,0.05734794425446438,0.27149436874501276,65.76086956521739,mais luminoso que o esperado,perfil intermediário,63,123,64,44,134,22
2314003,Várzea Alegre,Ceará,CE,38984,830,46.97,0.780721367326843,0.5232077836990356,2626.3466796875,69.86458587646484,17.717003567181926,0.7654734414393053,0.06736986147361738,89.48722131967646,3.8705758155139725,0.5770185447504793,0.52001949402893,0.6820604395141524,0.056999050721549316,0.269842650785295,65.21739130434783,mais luminoso que o esperado,contribuinte relevante no total estadual,31,45,65,22,54,52
2311801,Russas,Ceará,CE,72928,1611,45.27,0.7494916298069543,0.0,4882.1884765625,68.36246490478516,17.040221062327294,1.4229597500640285,0.06694532246273723,91.21177888428377,3.8344938029189084,0.5593252484797533,0.5036160386464974,0.6546939026582281,0.05570920983325589,0.26373633708388505,64.67391304347827,próximo ao padrão esperado,contribuinte relevante no total estadual,12,49,66,23,61,50
